ID,风险量化值,风险评级,,,,
E1,3.602988408,2,,,,
E2,4.504703214,10,,,,
E3,4.34497938,9,,,,
E4,4.222552397,7,,,,
E5,4.119119741,5,,,,
E6,4.337403357,8,,,,
E7,4.392146977,9,,,,
E8,4.051002123,5,,,,
E9,4.325244788,8,,,,
E10,4.176027041,6,,,,
E11,3.988987068,4,,,,
E12,4.272760462,8,,,,
E13,4.051002123,5,,,,
E14,4.343812301,9,,,,
E15,3.979841772,4,,,,
E16,4.416012685,9,,,,
E17,4.286241841,8,,,,
E18,4.248396165,8,,,,
E19,3.865895364,3,,,,
E20,3.575459425,2,,,,
E21,3.984768257,4,,,,
E22,4.400400251,9,,,,
E23,4.088270205,5,,,,
E24,4.545840614,10,,,,
E25,4.596881814,10,,,,
E26,3.936924862,4,,,,
E27,4.251854253,8,,,,
E28,3.959293382,4,,,,
E29,3.982976952,4,,,,
E30,4.23632341,8,,,,
E31,4.393372447,9,,,,
E32,4.588117655,10,,,,
E33,3.949183688,4,,,,
E34,4.215799283,7,,,,
E35,4.314527828,8,,,,
E36,4.407743283,9,,,,
E37,4.019795275,4,,,,
E38,4.187429333,6,,,,
E39,4.175355122,6,,,,
E40,4.640836311,10,,,,
E41,4.666984883,10,,,,
E42,3.827760022,3,,,,
E43,4.123227992,5,,,,
E44,4.194817424,7,,,,
E45,3.751379363,3,,,,
E46,4.185749472,6,,,,
E47,4.177636246,6,,,,
E48,4.71415248,10,,,,
E49,4.099283695,5,,,,
E50,4.200231058,7,,,,
E51,4.422176319,9,,,,
E52,3.936036621,3,,,,
E53,4.169219018,6,,,,
E54,4.480882539,10,,,,
E55,4.383565969,9,,,,
E56,4.136537268,6,,,,
E57,3.841204892,3,,,,
E58,4.527858119,10,,,,
E59,4.117078511,5,,,,
E60,4.226306657,7,,,,
E61,4.590346023,10,,,,
E62,4.301276879,8,,,,
E63,4.23083531,7,,,,
E64,4.232679489,7,,,,
E65,4.260092745,8,,,,
E66,3.495111014,2,,,,
E67,4.554423752,10,,,,
E68,3.4826737,1,,,,
E69,3.618119483,2,,,,
E70,4.202043734,7,,,,
E71,4.213862916,7,,,,
E72,3.976411563,4,,,,
E73,4.571402485,10,,,,
E74,3.864656559,3,,,,
E75,3.962780407,4,,,,
E76,4.338036698,8,,,,
E77,3.793241808,3,,,,
E78,4.211112226,7,,,,
E79,4.100674057,5,,,,
E80,4.144424828,6,,,,
E81,4.220797606,7,,,,
E82,3.871180195,3,,,,
E83,3.743631225,2,,,,
E84,4.208674731,7,,,,
E85,4.475004284,10,,,,
E86,3.604281681,2,,,,
E87,4.321009408,8,,,,
E88,4.47619182,10,,,,
E89,3.174215826,1,,,,
E90,4.403643059,9,,,,
E91,4.166300128,6,,,,
E92,4.131101389,6,,,,
E93,4.121696424,5,,,,
E94,3.4714942,1,,,,
E95,4.0907802,5,,,,
E96,3.352404095,1,,,,
E97,4.462041337,9,,,,
E98,4.165989579,6,,,,
E99,3.983392949,4,,,,
E100,4.371661397,9,,,,
E101,3.882752964,3,,,,
E102,3.573057494,2,,,,
E103,4.150587935,6,,,,
E104,3.442097249,1,,,,
E105,3.742991301,2,,,,
E106,4.128302015,5,,,,
E107,2.946920076,1,,,,
E108,4.029024595,4,,,,
E109,3.85880339,3,,,,
E110,3.745691932,2,,,,
E111,3.698309306,2,,,,
E112,4.093284886,5,,,,
E113,3.814777348,3,,,,
E114,3.284189375,1,,,,
E115,3.013395539,1,,,,
E116,3.602265413,2,,,,
E117,3.766987164,3,,,,
E118,3.216294467,1,,,,
E119,3.312907565,1,,,,
E120,3.704638685,2,,,,
E121,3.435906181,1,,,,
E122,3.284189375,1,,,,
E123,3.468567078,1,,,,
